SubmissionDate,meta-instanceID,Noise-audio,Noise-Noise_Measurement,Noise-Noise_Source,Noise-Noise_Source_2,Noise-Noise_Source_3,lat,lng,Noise-Location-Altitude,Noise-Location-Accuracy,Noise-Comment,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status
2021-05-12T16:40:34.479Z,uuid:27285e69-6cd6-4bd6-83e1-bd8e7508a309,1620834339428.wav,52,3,,,0.3600267,32.56206,1212.20981112913,4,,uuid:27285e69-6cd6-4bd6-83e1-bd8e7508a309,42,ncrispus,1,1,
2021-05-12T16:40:31.863Z,uuid:7add54a5-8d85-4b31-b809-b4b95e39d52c,1620834179432.wav,50,7,,,0.3610717,32.5629817,1197.75665565056,3.9,,uuid:7add54a5-8d85-4b31-b809-b4b95e39d52c,42,ncrispus,1,1,
2021-05-12T16:40:29.413Z,uuid:3741833c-dee5-4d66-b2fa-add9afce489e,1620834125073.wav,36,3,,,0.3615633,32.5638183,1223.24532736408,3.9,,uuid:3741833c-dee5-4d66-b2fa-add9afce489e,42,ncrispus,1,1,
2021-05-12T16:40:26.939Z,uuid:fc47bcda-983b-4273-b0ea-ee079d670825,1620834061326.wav,47,2,,,0.3615648,32.5638372,1206.78183026125,4.614,,uuid:fc47bcda-983b-4273-b0ea-ee079d670825,42,ncrispus,1,1,
2021-05-12T16:40:24.760Z,uuid:453641bd-8b14-4787-b9ba-4f5926adddaf,1620834029678.wav,51,3,,,0.3616733,32.564165,1203.94578578179,4.2,,uuid:453641bd-8b14-4787-b9ba-4f5926adddaf,42,ncrispus,1,1,
2021-05-12T16:40:22.690Z,uuid:d44f7e20-27e4-4ae2-9fd2-87f251feb197,1620833923925.wav,57,3,,,0.3621168,32.5649767,1216.05064619218,3.9,,uuid:d44f7e20-27e4-4ae2-9fd2-87f251feb197,42,ncrispus,1,1,
2021-05-12T16:40:21.181Z,uuid:7fc97689-ce3b-4cd3-8abe-77588708c8ac,1620833876288.wav,50,3,,,0.3635267,32.5655183,1191.46518226258,3.9,,uuid:7fc97689-ce3b-4cd3-8abe-77588708c8ac,42,ncrispus,1,1,
2021-05-12T16:40:18.726Z,uuid:a7da502e-0ee0-4720-8ed7-4dc73c30fa24,1620833829903.wav,43,2,,,0.3635304,32.5655234,1212.57968323232,3.9,,uuid:a7da502e-0ee0-4720-8ed7-4dc73c30fa24,42,ncrispus,1,1,
2021-05-12T16:40:16.608Z,uuid:b00b28a7-df6a-45ff-beec-af6f5db7fa6e,1620833774501.wav,40,2,,,0.3635585,32.5655301,1222.46205470982,3.9,,uuid:b00b28a7-df6a-45ff-beec-af6f5db7fa6e,42,ncrispus,1,1,
2021-05-12T16:40:14.775Z,uuid:0fadf314-3b6c-4f12-a47e-9c857c836078,1620833719329.wav,42,3,,,0.3635992,32.5655301,1215.66340307429,4.72,,uuid:0fadf314-3b6c-4f12-a47e-9c857c836078,42,ncrispus,1,1,
2021-05-12T16:40:12.679Z,uuid:f50d02f7-46b3-4712-bca4-7c44792b6a3d,1620833628785.wav,42,3,,,0.364475,32.565745,1197.37534857101,4.15,,uuid:f50d02f7-46b3-4712-bca4-7c44792b6a3d,42,ncrispus,1,1,
2021-05-12T16:40:10.937Z,uuid:d280028c-36c1-40e5-afc9-b1f24c388f30,1620833553701.wav,52,3,,,0.3654964,32.5658759,1217.15916497032,3.9,,uuid:d280028c-36c1-40e5-afc9-b1f24c388f30,42,ncrispus,1,1,
2021-05-12T16:40:09.060Z,uuid:e663cb03-50f3-482e-b62a-ef2eaaf4069c,1620833491783.wav,46,7,,,0.3656531,32.5658735,1206.15619951459,3.9,,uuid:e663cb03-50f3-482e-b62a-ef2eaaf4069c,42,ncrispus,1,1,
