SubmissionDate,meta-instanceID,meta-timeStart,meta-timeEnd,Noise-audio,Noise-Noise_Measurement,Noise-Noise_Source,lat,lng,Noise-Location-Altitude,Noise-Location-Accuracy,Noise-Image,Noise-Comment,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-04-10T22:06:47.693Z,uuid:7956846e-a3c3-478f-ba48-5ce1868bc61c,2023-04-10T19:53:59.357+03:00,2023-04-10T19:54:50.015+03:00,1681145657209.wav,50,Bodaboda-Motorcycle Motor-vehicle-horn,0.0951848,32.5027344,1169.0652461729971,3.95,,,uuid:7956846e-a3c3-478f-ba48-5ce1868bc61c,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:46.617Z,uuid:a634b839-30ae-469b-8aa1-199706b35039,2023-04-10T19:53:23.924+03:00,2023-04-10T19:53:55.565+03:00,1681145618195.wav,50,Mobile-music,0.0955614,32.5030927,1153.6174107109587,4.95,,,uuid:a634b839-30ae-469b-8aa1-199706b35039,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:45.353Z,uuid:a4a21a30-0fa6-45f5-8393-aa974ae1d84c,2023-04-10T19:52:03.434+03:00,2023-04-10T19:53:07.669+03:00,1681145576142.wav,50,Motor-vehicle-horn Bodaboda-Motorcycle,0.0958778,32.503318,1153.7054406478164,4.8,,,uuid:a4a21a30-0fa6-45f5-8393-aa974ae1d84c,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:44.142Z,uuid:0f67320e-0e03-410d-a8f7-307209806d04,2023-04-10T19:51:21.096+03:00,2023-04-10T19:51:59.521+03:00,1681145508242.wav,46,Bodaboda-Motorcycle,0.096274,32.5039535,1157.0737234399755,4.35,,,uuid:0f67320e-0e03-410d-a8f7-307209806d04,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:43.053Z,uuid:7d9d6311-e936-490a-81ef-b41ffb67f154,2023-04-10T19:50:54.693+03:00,2023-04-10T19:51:19.209+03:00,1681145468375.wav,50,Bodaboda-Motorcycle,0.0965273,32.504252,1168.0876063115873,4.05,,,uuid:7d9d6311-e936-490a-81ef-b41ffb67f154,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:41.995Z,uuid:45fc7c32-f23b-4127-8972-f25ec5f89e20,2023-04-10T19:50:10.642+03:00,2023-04-10T19:50:42.061+03:00,1681145428418.wav,50,Motor-vehicle-horn,0.096803,32.504623,1180.38355171391,3.95,,,uuid:45fc7c32-f23b-4127-8972-f25ec5f89e20,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:40.932Z,uuid:c1b9dab4-a501-4a60-8729-580efb0f045b,2023-04-10T19:49:42.128+03:00,2023-04-10T19:50:08.886+03:00,1681145396590.wav,45,Motor-vehicle-horn Car-alarm Bodaboda-Motorcycle,0.0969892,32.5048592,1172.0175441883948,3.95,,,uuid:c1b9dab4-a501-4a60-8729-580efb0f045b,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:39.850Z,uuid:cae6c562-9405-4c19-ace4-1f1e1b11d24c,2023-04-10T19:48:53.416+03:00,2023-04-10T19:49:36.058+03:00,1681145360966.wav,48,Motor-vehicle-horn Car-alarm,0.0972226,32.5051932,1154.3634560256214,3.9,,,uuid:cae6c562-9405-4c19-ace4-1f1e1b11d24c,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:38.395Z,uuid:8eee79d5-6285-4062-b014-a3b2723b7be0,2023-04-10T19:46:23.586+03:00,2023-04-10T19:47:23.625+03:00,1681145229469.wav,40,Motor-vehicle-horn Other,0.0971618,32.5057962,1156.6490172383621,3.9,,,uuid:8eee79d5-6285-4062-b014-a3b2723b7be0,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:37.425Z,uuid:3a08300a-a840-4a33-8e7d-783b4fa7084e,2023-04-10T19:45:46.345+03:00,2023-04-10T19:46:21.153+03:00,1681145166149.wav,45,Motor-vehicle-horn Bodaboda-Motorcycle,0.0967969,32.5060148,1151.2930318345961,3.9,,,uuid:3a08300a-a840-4a33-8e7d-783b4fa7084e,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
